Direccion,Barrio,Latitud,Longitud,Tipo_vivienda,Dproymes,Localidad,Cod_proyecto,Proyecto
Cl. 147 # 11-10,Cedritos,-74.03320011199997,4.726222188999998,No VIS,Abril,Usaquén,41211,Cedritos 147
Cr. 55A # 167A-19,Britalia Norte,-74.056738914,4.750351142,No VIS,Abril,Suba,41221,Park 170
Cl. 145 # 15-75,Cedritos,-74.04302884600003,4.726278127,No VIS,Abril,Usaquén,41222,Imoval XIV
Cr. 7 # 158-51,Barrancas,-74.02493289799997,4.734166915000003,No VIS,Abril,Usaquén,41226,Séptima Avenida
Cl. 170 # 56-45,Britalia Norte,-74.057788405,4.753428718999999,No VIS,Abril,Suba,41238,Belgrano
Cl. 152B # 56-62,Colina Campestre,-74.06084470500002,4.739136366000025,No VIS,Abril,Suba,41240,Klimt
Cr. 56 # 152B-71,Colina Campestre,-74.060318849,4.739848370000004,No VIS,Abril,Suba,41248,Picabia
Cl. 170 # 7A-17,Santa Teresa,-74.02469367100002,4.745305819999999,No VIS,Abril,Usaquén,41249,Miramont Park
Cr. 87 # 131C-11,Provenza,-74.083968002,4.728976014000011,No VIS,Abril,Suba,41251,Camino del Bosque Aptos
Cl. 147 # 72C-06,Colina Campestre,-74.06772959199998,4.737939868000012,No VIS,Abril,Suba,41272,Pratum
